,Song,Artist,Label,Genre,BPM,BP Key,Release Date,Price,URL
0,More Love Rampa &ME Remix ,"Moderat, &ME, Rampa, Keinemusik",Keinemusik,Melodic House & Techno,122 BPM,B Minor,2023-10-27,€1.59,https://www.beatport.com/track/more-love/18251881
1,Dress Code Extended Mix ,Mau P,Black Book Records,Tech House,128 BPM,Db Major,2023-10-06,€2.39,https://www.beatport.com/track/dress-code/18138836
2,LOVE DESIRE Extended Mix ,CASSIMM,Golden Recordings,House,126 BPM,F Major,2023-10-13,€2.39,https://www.beatport.com/track/love-desire/18141988
3,Spring Girl Vintage Culture Remix (Extended) ,"Maori, Adam Ten",Higher Ground,Melodic House & Techno,127 BPM,G Major,2023-10-04,€1.59,https://www.beatport.com/track/spring-girl/18190256
4,Somebody That I Used To Know Extended Mix ,"Kevin McKay, James Cole",Glasgow Underground,Deep House,129 BPM,D Minor,2023-08-04,€1.39,https://www.beatport.com/track/somebody-that-i-used-to-know/17937342
5,Aria Extended Mix ,"Argy, Omnya",Afterlife Records,Melodic House & Techno,122 BPM,C Major,2023-09-22,€1.59,https://www.beatport.com/track/aria/18136592
6,365 Original Mix ,"Camden Cox, Biscits",Insomniac Records,Tech House,127 BPM,D Minor,2023-09-15,€1.59,https://www.beatport.com/track/365/18025392
7,Baddadan Extended Mix ,"Trigga, Chase & Status, Irah, Flowdan, Bou",EMI,Drum & Bass,87 BPM,F Minor,2023-07-27,€1.39,https://www.beatport.com/track/baddadan/17963469
8,Saving Up Extended ,Dom Dolla,Three Six Zero Recordings,Dance / Electro Pop,130 BPM,Ab Major,2023-10-06,€2.39,https://www.beatport.com/track/saving-up/18182353
9,Legacy Extended Mix ,"John Summit, VLTRA (IT)",Experts Only,Tech House,128 BPM,E Major,2023-09-29,€1.59,https://www.beatport.com/track/legacy/18145087
10,Drums Extended Version ,"James Hype, Kim Petras",Universal-Island Records Ltd.,Dance / Electro Pop,128 BPM,Bb Minor,2023-10-06,€1.59,https://www.beatport.com/track/drums/18212612
11,Losing Control Extended Mix ,"Odd Mob, OMNOM",Experts Only,Tech House,134 BPM,G Major,2023-09-15,€1.59,https://www.beatport.com/track/losing-control/18119105
12,Liquor & Cigarettes Original Mix ,"Chase & Status, Hedex, ArrDee",EMI,Drum & Bass,87 BPM,E Minor,2023-09-15,€1.59,https://www.beatport.com/track/liquor-cigarettes/18143221
13,Jealous Extended Mix ,Mochakk,CircoLoco Records,House,128 BPM,E Minor,2023-08-25,€1.39,https://www.beatport.com/track/jealous/18030245
14,Atmosphere Extended Mix ,"Kita Alexander, FISHER (OZ)",Catch & Release,Tech House,126 BPM,C Minor,2023-08-11,€2.39,https://www.beatport.com/track/atmosphere/18002517
15,Burnin' Original Mix ,"Martin Ikin, Noizu",Insomniac Records,Tech House,128 BPM,F Minor,2023-10-20,€1.59,https://www.beatport.com/track/burnin/18112177
16,Could You Be Loved Original Mix ,Jackers Revenge,Dark Mondays,Funky House,120 BPM,B Minor,2023-10-13,€1.59,https://www.beatport.com/track/could-you-be-loved/18195973
17,Say The Word Original Mix ,"Chase & Status, Clementine Douglas",EMI,Drum & Bass,87 BPM,D Minor,2023-10-27,€1.59,https://www.beatport.com/track/say-the-word/18293332
18,Haunted VIP Original Mix ,"Sub Zero, Original Sin",Crucast,Drum & Bass,88 BPM,E Major,2023-10-27,€1.59,https://www.beatport.com/track/haunted-vip/18204612
19,Vois sur ton chemin Extended Techno Mix ,BENNETT (DE),Warner Music Central Europe,Mainstage,138 BPM,D Minor,2023-08-04,€1.39,https://www.beatport.com/track/vois-sur-ton-chemin/17995562
20,The Greatest Thing Alive Extended Mix ,"Mark Knight, Green Velvet, James Hurr",Toolroom,House,122 BPM,A Minor,2023-10-13,€1.59,https://www.beatport.com/track/the-greatest-thing-alive/18166513
21,La Gente Original Mix ,ESSED,Retail Records,Tech House,130 BPM,Gb Minor,2023-09-15,€1.59,https://www.beatport.com/track/la-gente/18044709
22,Can't Play Myself (A Tribute To Amy) Extended Mix ,Skepta,Universal-Island Records Ltd.,Dance / Electro Pop,127 BPM,Db Minor,2023-10-13,€1.59,https://www.beatport.com/track/cant-play-myself-a-tribute-to-amy/18237455
