Song,Artist,Label,Genre,BPM,BP Key,Release Date,Price,URL
Funkot Pontianak Ganjur Pride 02 ,Rocky Rudas,Zojak Inti Media,Hard Techno,108 BPM,Bb Minor,2023-10-21,€1.59,https://www.beatport.com/track/funkot-pontianak/18269321
Ground Zero Original Mix ,Kruger (UK),Divine Intervention Records,Hard Techno,145 BPM,G Minor,2023-10-21,€1.59,https://www.beatport.com/track/ground-zero/18269810
The Gremlins Original Mix ,Kruger (UK),Divine Intervention Records,Hard Techno,151 BPM,Eb Minor,2023-10-21,€1.59,https://www.beatport.com/track/the-gremlins/18269814
Synthetic Resonance Original Mix ,Kruger (UK),Divine Intervention Records,Hard Techno,145 BPM,D Major,2023-10-21,€1.59,https://www.beatport.com/track/synthetic-resonance/18269812
Dancefloor Original Mix ,Adan Mor,Fingers Records,Hard Techno,142 BPM,Gb Major,2023-10-20,€2.39,https://www.beatport.com/track/dancefloor/17923273
On This Agora Original Mix ,FLUO NOIRE,ZTEREN Recordings,Hard Techno,101 BPM,B Major,2023-10-20,€1.59,https://www.beatport.com/track/on-this-agora/18006903
Go Away Original Mix ,Jacks Menec,ORKS,Hard Techno,150 BPM,Db Minor,2023-10-20,€2.39,https://www.beatport.com/track/go-away/18042987
"3,2,1 Drop Original Mix ",Jacks Menec,ORKS,Hard Techno,150 BPM,Db Minor,2023-10-20,€2.39,https://www.beatport.com/track/321-drop/18042985
Can You Hear Me Original Mix ,Jacks Menec,ORKS,Hard Techno,150 BPM,G Major,2023-10-20,€2.39,https://www.beatport.com/track/can-you-hear-me/18042983
Demon MaKaJa Gonzales Remix ,DamienJ,Frame Workxx Records,Hard Techno,132 BPM,A Minor,2023-10-20,€2.39,https://www.beatport.com/track/demon/18064847
Toxic Walls Original Mix ,Air of Wave,KLANG Rebellion Records,Hard Techno,155 BPM,G Major,2023-10-20,€1.59,https://www.beatport.com/track/toxic-walls/18080832
Air Original Mix ,Air of Wave,KLANG Rebellion Records,Hard Techno,155 BPM,A Major,2023-10-20,€1.59,https://www.beatport.com/track/air/18080830
Save The Day. Original Mix ,ROTURA XXL,BlackVogue Records,Hard Techno,150 BPM,B Minor,2023-10-20,€2.39,https://www.beatport.com/track/save-the-day/18091587
To The Reverse Original Mix ,ROTURA XXL,BlackVogue Records,Hard Techno,150 BPM,Gb Minor,2023-10-20,€2.39,https://www.beatport.com/track/to-the-reverse/18091588
Tatatara Original Farts Mix ,ROTURA XXL,BlackVogue Records,Hard Techno,155 BPM,F Minor,2023-10-20,€2.39,https://www.beatport.com/track/tatatara/18091593
Out Of Control Original Mix ,ROTURA XXL,BlackVogue Records,Hard Techno,155 BPM,C Minor,2023-10-20,€2.39,https://www.beatport.com/track/out-of-control/18091586
Flight Of The Bumblebee Original Mix ,ROTURA XXL,BlackVogue Records,Hard Techno,150 BPM,F Minor,2023-10-20,€2.39,https://www.beatport.com/track/flight-of-the-bumblebee/18091590
State of Affairs Original Mix ,Kruger (UK),Second Air Records,Hard Techno,150 BPM,Ab Major,2023-10-20,€1.59,https://www.beatport.com/track/state-of-affairs/18092542
Jekyll & Hide Original Mix ,Kruger (UK),Second Air Records,Hard Techno,150 BPM,D Minor,2023-10-20,€1.59,https://www.beatport.com/track/jekyll-hide/18092545
Jasper Original Mix ,Kruger (UK),Second Air Records,Hard Techno,145 BPM,G Minor,2023-10-20,€1.59,https://www.beatport.com/track/jasper/18092547
Encore Original Mix ,Kruger (UK),Second Air Records,Hard Techno,145 BPM,E Minor,2023-10-20,€1.59,https://www.beatport.com/track/encore/18092548
Blackout Original Mix ,"Bastet, Samuel Well",Sonaxx Records,Hard Techno,148 BPM,Db Minor,2023-10-20,€2.39,https://www.beatport.com/track/blackout/18094897
