Song,Artist,Genre,Likes,Reposts,Comments,Sound_Cloud_Link,SCUpload_Time,Snatched_on,Time_Difference
SO ALIVE,OGUZ,Electronic,14100,286,207,https://soundcloud.com/oguz808/so-alive,2023-06-30,2023-10-01,93.0
Toni Alvarez - SMFD (Original Mix),DSR Digital / DOPE,Hard Techno,3,2, ,https://soundcloud.com/dsrdigital/toni-alvarez-smfd-original-2,2023-10-01,2023-10-01,0.0
SIKOTI - Bang Bang Bang,KTK RECORDS,Techno,13000,219,126,https://soundcloud.com/ktkrecords/sikoti-bang-bang-bang-1,2023-06-13,2023-10-01,110.0
Premiere: PER PLEKS - WHAT THE FXCK,The Finest Techno,Techno,43600,768,613,https://soundcloud.com/thefinesttechno/free-dl-per-pleks-what-the-fxck,2022-12-03,2023-10-01,302.0
Premiere: Nyctonian - Purpura Violaceum [RCKLSS012],Techno Germany,Techno,9664,222,146,https://soundcloud.com/technogermany/premiere-nyctonian-purpura-violaceum-rcklss012-1,2023-07-18,2023-10-01,75.0
Say My Name,CARV,Electronic,19700,349,213,https://soundcloud.com/carv-music/say-my-name,2023-02-24,2023-10-01,219.0
Basswell - Massive Attack,Basswell, ,23000,"2,898","3,442",https://soundcloud.com/basswell-2/basswell-massive-attack-81mastering,2023-02-20,2023-10-01,223.0
Maddix feat. Leila K - Open Sesame (Extended Mix),Marco Nardone,Dance & EDM,5692,116,60,https://soundcloud.com/marcoamazing/maddix-feat-leila-k-open-sesame-extended,2023-06-11,2023-10-01,112.0
Black Eyed Peas - Pump It (GWELD Schranz Remix)[FREE DL],GWELD,Techno,40100,"3,442",270,https://soundcloud.com/user-446510488/black-eyed-peas-pump-it-gweld-schranz-remixfree-dl,2022-12-30,2023-10-01,275.0
MICH X CORTES - AC130 [SINNERGATE VA00],INNERGATE RECORDS,Hard Techno,10400,220,126,https://soundcloud.com/innergatetechno/mich-x-cortes-ac130-innergatedva,2023-07-19,2023-10-01,74.0
Dj Almighty - Oracular (Original Mix),DSR Digital / DOPE,Hard Techno,28,4,1,https://soundcloud.com/dsrdigital/dj-almighty-oracular-1,2023-09-28,2023-10-01,3.0
Nena - 99 Luftballons (Henry White HT Rework),Henry White,Techno,4241,52,32,https://soundcloud.com/user-659062392-44851598/99-luftballons-henry-white-ht-rework,2023-05-06,2023-10-01,148.0
Massano - The Feeling (BODA Hard Techno/Schranz Edit) BUY=FREE DL,BODA,Hard Techno/Schranz,6915,534,29,https://soundcloud.com/boda_uk/massano-the-feeling-boda-heavy-techno-schranz-edit,2023-03-29,2023-10-01,186.0
𝐏𝐑𝐄𝐌𝐈𝐄𝐑𝐄 | Massano - The Feeling (ACOR HT Rework) [ACR003],MORC,Techno,29000,"2,912","3,621",https://soundcloud.com/ministry_of_rave_culture/massano-the-feeling-acor-ht-rework-acr003,2023-04-05,2023-10-01,179.0
Premiere: URI - Deadly Paradox [NTND010],HATE,Techno,16100,259,118,https://soundcloud.com/hate_music/premiere-uri-deadly-paradox-ntnd010,2023-04-13,2023-10-01,171.0
Namsi X ABP - The Underground,Namsi,Techno,7016,102,46,https://soundcloud.com/dr_namsi/namsi-x-abp-the-underground,2023-05-11,2023-10-01,143.0
Underdog - (Hard Techno)- Aj the Juiceman (FREE DL) *ON SPOTIFY*,aj the juiceman,Hard Techno,16100,"1,401","1,219",https://soundcloud.com/alan-jose-592981472/underdog-hard-techno-aj-the-juiceman,2023-01-29,2023-10-01,245.0
